date,o,h,l,c,v
2010-01-11 04:00:00+00:00,86.56,87.4,85.51,87.12,25222076
2010-01-11 08:00:00+00:00,87.12,88.17,86.71000000000001,87.18,73064770
2010-01-11 12:00:00+00:00,87.19,87.9,86.63,86.69,50374391
2010-01-12 04:00:00+00:00,86.55,86.77,85.56,85.61,16286898
2010-01-12 08:00:00+00:00,85.65,86.74,85.4,86.15,67078098
2010-01-12 12:00:00+00:00,86.18,86.4,84.9,85.0,46911083
2010-01-13 04:00:00+00:00,84.4,84.73,84.10000000000001,84.58,10545408
2010-01-13 08:00:00+00:00,84.58,86.01,84.56,85.80000000000001,55146844
2010-01-13 12:00:00+00:00,85.80000000000001,87.23,85.69,86.61,62992521
2010-01-14 04:00:00+00:00,87.5,87.87,87.32000000000001,87.77,15353705
2010-01-14 08:00:00+00:00,87.77,87.78,86.93,87.15,42993788
2010-01-14 12:00:00+00:00,87.13,87.78,86.75,87.55,52916121
2010-01-15 04:00:00+00:00,87.47,87.80000000000001,87.16,87.75,9908570
2010-01-15 08:00:00+00:00,87.7,88.67,87.43,88.12,84887565
2010-01-15 12:00:00+00:00,88.12,88.35000000000001,87.67,88.15,47264013
2010-01-18 04:00:00+00:00,87.86,88.85000000000001,87.79,88.72,18607752
2010-01-18 08:00:00+00:00,88.73,89.65,88.53,89.62,56063971
2010-01-18 12:00:00+00:00,89.62,90.65,89.41,90.49,104727627
2010-01-19 04:00:00+00:00,90.52,91.66,90.5,91.4,33961922
2010-01-19 08:00:00+00:00,91.44,91.55,90.0,90.42,83939886
2010-01-19 12:00:00+00:00,90.43,92.2,88.80000000000001,92.02,151013483
2010-01-20 04:00:00+00:00,92.02,92.49,91.55,91.99,32319086
2010-01-20 08:00:00+00:00,91.94,92.45,90.8,91.69,90258626
2010-01-20 12:00:00+00:00,91.7,92.18,90.42,90.62,97695547
2010-01-21 04:00:00+00:00,91.26,91.48,90.81,91.1,22468018
2010-01-21 08:00:00+00:00,91.1,91.25,89.59,90.52,77910203
2010-01-21 12:00:00+00:00,90.52,91.65,88.92,89.18,118975287
2010-01-22 04:00:00+00:00,88.46000000000001,88.54,87.80000000000001,88.12,27584565
2010-01-22 08:00:00+00:00,88.12,89.06,86.27,86.35000000000001,112587324
2010-01-22 12:00:00+00:00,86.4,86.96000000000001,85.75,86.5,81051311
2010-01-25 04:00:00+00:00,85.68,86.38,85.33,85.83,19509113
2010-01-25 08:00:00+00:00,85.84,88.45,85.63,87.84,88550350
2010-01-25 12:00:00+00:00,87.84,88.80000000000001,87.27,88.07000000000001,67021464
2010-01-26 04:00:00+00:00,86.99,87.05,85.7,85.97,30576033
2010-01-26 08:00:00+00:00,86.0,86.74,84.95,85.29,80565054
2010-01-26 12:00:00+00:00,85.29,86.65,84.97,85.84,85168730
2010-01-27 04:00:00+00:00,85.61,86.60000000000001,85.5,86.44,17330994
2010-01-27 08:00:00+00:00,86.44,87.18,85.07000000000001,87.04,94949058
2010-01-27 12:00:00+00:00,87.04,88.0,86.10000000000001,86.64,95352809
2010-01-28 04:00:00+00:00,88.01,88.56,87.80000000000001,88.28,24551334
2010-01-28 08:00:00+00:00,88.28,88.75,87.65,87.99,69680598
2010-01-28 12:00:00+00:00,87.98,88.57000000000001,86.5,87.15,78509947
2010-01-29 04:00:00+00:00,86.45,87.08,86.01,86.77,15701394
2010-01-29 08:00:00+00:00,86.77,87.85000000000001,86.55,86.88,65006081
2010-01-29 12:00:00+00:00,86.9,88.80000000000001,86.80000000000001,88.41,107197070
2010-02-01 04:00:00+00:00,87.61,88.10000000000001,86.93,87.34,24448124
2010-02-01 08:00:00+00:00,87.34,88.05,86.85000000000001,87.21000000000001,69227361
2010-02-01 12:00:00+00:00,87.21000000000001,88.10000000000001,86.92,87.69,52675499
2010-02-02 04:00:00+00:00,88.4,88.44,88.0,88.09,17947729
2010-02-02 08:00:00+00:00,88.09,88.19,87.56,87.95,51726758
2010-02-02 12:00:00+00:00,87.98,88.19,87.34,88.05,59563217
2010-02-03 04:00:00+00:00,88.71000000000001,88.9,88.46000000000001,88.7,18289777
2010-02-03 08:00:00+00:00,88.71000000000001,89.64,88.16,89.54,90510406
2010-02-03 12:00:00+00:00,89.54,89.80000000000001,87.99,88.08,79603210
2010-02-04 04:00:00+00:00,88.11,88.47,87.77,87.93,12380151
2010-02-04 08:00:00+00:00,87.91,88.36,86.75,87.06,87735196
2010-02-04 12:00:00+00:00,87.06,87.36,84.33,84.77,92510472
2010-02-05 04:00:00+00:00,83.2,83.9,81.9,81.97,36068030
2010-02-05 08:00:00+00:00,81.95,82.57000000000001,80.89,81.73,98998943
2010-02-05 12:00:00+00:00,81.7,84.19,81.52,83.09,140129769
2010-02-08 04:00:00+00:00,83.0,83.60000000000001,82.83,83.03,16177465
2010-02-08 08:00:00+00:00,83.03,84.05,82.33,82.68,95039565
2010-02-08 12:00:00+00:00,82.69,82.86,79.01,79.01,138978085
2010-02-09 04:00:00+00:00,80.0,80.57000000000001,79.60000000000001,80.32000000000001,23824653
2010-02-09 08:00:00+00:00,80.32000000000001,80.55,78.10000000000001,79.45,169898661
2010-02-09 12:00:00+00:00,79.46000000000001,80.89,78.55,80.35000000000001,123605113
2010-02-10 04:00:00+00:00,81.0,81.18,80.15,80.55,22846978
2010-02-10 08:00:00+00:00,80.56,82.78,79.42,82.57000000000001,121105244
2010-02-10 12:00:00+00:00,82.57000000000001,83.44,80.30000000000001,81.49,136055212
2010-02-11 04:00:00+00:00,83.01,83.74,82.62,83.38,30220612
2010-02-11 08:00:00+00:00,83.37,83.82000000000001,82.05,83.30000000000001,125895796
2010-02-11 12:00:00+00:00,83.27,83.68,81.58,82.67,120948830
2010-02-12 04:00:00+00:00,83.37,83.62,82.76,82.85000000000001,19596948
2010-02-12 08:00:00+00:00,82.81,83.19,79.80000000000001,80.31,104320251
2010-02-12 12:00:00+00:00,80.31,81.0,79.28,80.0,83067316
2010-02-15 04:00:00+00:00,80.03,80.71000000000001,79.47,80.49,17786939
2010-02-15 08:00:00+00:00,80.49,81.30000000000001,79.85000000000001,80.45,62222047
2010-02-15 12:00:00+00:00,80.45,80.55,79.60000000000001,80.38,34936544
2010-02-16 04:00:00+00:00,81.03,81.44,80.84,81.31,20093989
2010-02-16 08:00:00+00:00,81.34,82.45,81.02,82.44,67945928
2010-02-16 12:00:00+00:00,82.42,83.30000000000001,81.61,83.25,81007252
2010-02-17 04:00:00+00:00,83.85000000000001,83.94,83.35000000000001,83.57000000000001,19663546
2010-02-17 08:00:00+00:00,83.58,83.78,82.52,83.11,59314949
2010-02-17 12:00:00+00:00,83.12,83.77,82.13,82.47,89266062
2010-02-18 04:00:00+00:00,82.0,82.15,81.66,81.9,15721654
2010-02-18 08:00:00+00:00,81.89,82.0,80.57000000000001,80.84,69835537
